City,Province/State,latitude,longitude
ShenYang,Liaoning,123.429092,41.796768
Changchun,Jilin,125.324501,43.886841
Harbin,Heilongjiang,126.642464,45.756966
Beijing,Beijing,116.405289,39.904987
Tianjin,Tianjin,117.190186,39.125595
Hohhot,Inner Mongolia,111.751990,40.841490
Yinchuan,Ningxia,106.232480,38.486440
Taiyuan,Shanxi,112.549248,37.857014
Shijiazhuang,Hebei,114.502464,38.045475
Jinan,Shandong,117.000923,36.675808
Zhengzhou,Henan,113.665413,34.757977
Xi'an,Shaanxi,108.948021,34.263161
Wuhan,Hubei,114.298569,30.584354
Nanjing,Jiangsu,118.76741,32.041546
Hefei,Anhui,117.283043,31.861191
Shanghai,Shanghai,121.472641,31.231707
Changsha,Hunan,112.982277,28.19409
Nanchang,Jiangxi,115.892151,28.676493
Hangzhou,Zhejiang,120.15358,30.287458
Fuzhou,Fujian,119.306236,26.075302
Guangzhou,Guangdong,113.28064,23.125177
Haikou,Hainan,110.199890,20.044220
Nanning,Guangxi,108.320007,22.82402
Chongqing,Chongqing,106.504959,29.533155
Kunming,Yunan,102.71225,25.040609
Guiyang,Guizhou,106.713478,26.578342
Chengdu,Sichuan,104.065735,30.659462
Lanzhou,Gansu,103.834170,36.061380
Xining,Qinghai,101.777820,36.617290
Lhasa,Tibet,91.11450,29.644150
Ürümqi,Xinjiang,87.616880,43.826630
Taibei,Taibei,121.5200760,25.0307240
Hongkong,Hongkong,114.165460,22.275340
Macau,Macau,113.549130,22.198750